,ACTIVATION_FUNCTION1,OPTIMIZER,LEARNING RATE,EPOCHS,LOSS,INPUT1,INPUT2,TARGET,PREDICTED,ERROR
439,Tanh,sgd.SGD,0.9,10000,0.3013,1,1,0,0.9894,0.9894
440,Tanh,sgd.SGD,1.0,100,1.6153,0,1,1,1.0,0.0
441,Tanh,sgd.SGD,1.0,100,1.6153,1,1,0,1.0,1.0
442,Tanh,sgd.SGD,1.0,1000,1.0000,0,1,1,1.0,0.0
443,Tanh,sgd.SGD,1.0,1000,1.0000,1,1,0,1.0,1.0
444,Tanh,sgd.SGD,1.0,2000,1.0000,0,1,1,1.0,0.0
445,Tanh,sgd.SGD,1.0,2000,1.0000,1,1,0,1.0,1.0
446,Tanh,sgd.SGD,1.0,5000,1.0000,0,1,1,1.0,0.0
447,Tanh,sgd.SGD,1.0,5000,1.0000,1,1,0,1.0,1.0
448,Tanh,sgd.SGD,1.0,10000,1.0000,0,1,1,1.0,0.0
449,Tanh,sgd.SGD,1.0,10000,1.0000,1,1,0,1.0,1.0
